2, Habit: Still Woozy, Someday: Flypsyde, Chennai Bass: Nucleya, Main tenu Samjhawan: Rahet Fateh Ali Khan, Venus: Sleeping at Last, Will Do: TV on the Radio, Every other Freckle: Alt-J, Face: Brockhampton, Border line: Tame Impala Do I Wanna Know by Arctic Monkeys, NA: NA
3, Death bed: Powfu, Gloria: Henery Jamison, cold/mess: prateek kuhad, Khoj: when chai met Toast, old town road: lil nas x, imagine: Arianna Grande, woah: xxxtentencian, older: Sasha Sloan, if the world was ending: jp saxe, mean it: lauv
4, Golden: Lady Antebellum, See you Again: wiz khalifa, How long: Charlie Pith, Makeba: Jain, Mr Johnson: Jain, Fire: Alicia Keys, Perfect: Ed Sheeran, Thinking out loud: Ed Sheeran, Just the way you are: Bruno Mars, All of me: John Legend
6, Queen: Bohemian Rhapsody, Imagine Dragons: Believer, Imagine Dragon: Radioactive, Green Day: Boulevard of Broken Dreams, Coldplay: Viva la vida,Cheap Thrills: sia, Linking Park: Numb/Encore, Lukas Graham: Mama Said, Twenty one Pilot: Ride,A sky full of Stars: coldplay
7, Marooned: Pink Floyd, All along the watch tower: Jimmy hendrix, Free fall'n: John Mayor, All I need: Radiohead, Blowing I'm the wind: Bob Dylan, Stairway to heaven: Led Zeppelin, The Runner: Foals, Free as a bird: Beatles, Eminence Front: The Who, Hunger Strike: Temple of the dog
10, Afreen: NA, Mohabbat karne wale: NA, khumaar: NA, man in the mirror: NA, love the way you lie: Eminem, gulon me rang: NA, thriller: NA, senorita: NA, aapki nazro ne samjha: NA, jhuki jhuki si nazaar: NA
12, Sanctity: camila cabellla, Havana: Camilla cabella, Perfect: ed sheeran, Love me like you do: Ellie, Shape of you: ed sheeran, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
14, Legends never die: Against the current, Nightcore I don't wanna be sa: Lauv, Faded:  Alan Walker, Love me like you do: Ellie Goulding, Let me love you: Justin, Radioactive: Imagine Dragons, The Nights: Avicii, See you Again: Charlie Puth, Let your heart hold fas:  Fort Atlantic, The Funeral: Band of horses
15, I want it that way: backstreet boys, world of our own: westlife,  dark side: Alan walker, boom boom: redone, hero: enrique, perfect: ed Sheeran, thinking out loud: ed Sheeran,  man: Taylor Swift, sugar: maroon 5 , stereo hearts: adam Levine
17, Its you: NA, Happier: NA, Fall: NA, Browns and sugars: NA, In the jungle: NA, Perfect: Ed sheeran, Photograph: NA,  What makes you beautiful: NA,  It girl: NA, Love story: NA
19, memories: maroon5, Sunburn: droeloe, Sweet child ‘o mine: guns n roses, You and me: feldberg, Technicolor beat: oh wonder, Virtual friends: droeloe, The Silence: Manchester orchestra , Fragile minds: silent theory, Fast car: Tracy Chapman , Ultraviolent: crywolf
20, Breathless: shayne ward, I'm damaged: shayne ward , No promises: NA , Somebody's me: NA, One love: NA, Smack that: NA, Blank space: NA, Lovestory: NA, I'll never let you go: NA, You Belong with me: NA
21, Sleep: Poets of the Fall, Hero: Family of the Year, Candles: Daughter, Do I Wanna Know: Arctic Monkeys, Sky Full of Song: Florence, Wish You Were Here: Pink Floyd, Creep: Radiohead, I'm Going Slightly Mad: Queen, Highway to Hell: AC DC, Lazarus: Porcupine Tree
22, Thunder: NA, Closer: The chainsmokers, Heart will go on: NA, Dangerous: NA, Something like you: NA, Million dreams: NA, NA: NA, NA: NA, NA: NA, NA: NA
23, I'm a mess: Bebe Rexha, A thousand years: Christina Perri, Jar of hearts: Christina Perri, All of me: John Legend, Cry: Rihanna, Run the world: Beyonce, Crazy in love: Beyonce, Immortal: Evanescence, The heart wants what it wants: Selena Gomez, Wrecking Ball: Miley Cyrus
25, No time to die: billie eilish, bellyache:  billie eilish, call you mine:  bebe rexha, dancing with a stranger:  Sam Smith, ocean eyes: billie eilish, i knew you were trouble:  Taylor swift, call it what you want:  Taylor swift, jump:  Julia Michaels, this feeling:  Chainsmokers, must be love: shaan
26, 10000 hours: NA, memories: NA, alone: NA, sugar: NA, girls like you: NA, thousand years: NA, cheap thrills: Sia, you don't know you're beautiful: NA, just the way you are: NA, NA: NA
27, Perfect: Ed sheeran, Senorita: NA, Bang Bang: NA, I'm an Albatraoz: NA, Roar: NA, Love me like you do: NA,  Let it Go: NA, Darkside: NA, A thousand years: NA, Shake it off: NA
30, show me the meaning of being lonely: NA, incomplete: NA, mocking bird: Eminem, loose yourself: NA, not afraid: NA, love the way you lie: NA,numb : NA, somewhere I belong: NA, highway to hell : NA, bouvleard of broken dreams: NA.
